Fecha,Reservas
01/12/2015,0
02/12/2015,0
03/12/2015,0
04/12/2015,11
05/12/2015,24
06/12/2015,24
07/12/2015,24
08/12/2015,1
09/12/2015,0
10/12/2015,0
11/12/2015,4
12/12/2015,6
13/12/2015,2
14/12/2015,0
15/12/2015,0
16/12/2015,0
17/12/2015,2
18/12/2015,5
19/12/2015,5
20/12/2015,6
21/12/2015,6
22/12/2015,9
23/12/2015,9
24/12/2015,15
25/12/2015,18
26/12/2015,19
27/12/2015,12
28/12/2015,8
29/12/2015,2
30/12/2015,4
31/12/2015,21
01/01/2016,23
02/01/2016,22
03/01/2016,18
04/01/2016,14
05/01/2016,9
06/01/2016,9
07/01/2016,15
08/01/2016,24
09/01/2016,21
10/01/2016,12
11/01/2016,26
12/01/2016,17
13/01/2016,17
14/01/2016,14
15/01/2016,24
16/01/2016,22
17/01/2016,20
18/01/2016,27
19/01/2016,23
20/01/2016,25
21/01/2016,23
22/01/2016,27
23/01/2016,27
24/01/2016,23
25/01/2016,22
26/01/2016,24
27/01/2016,19
28/01/2016,26
29/01/2016,23
30/01/2016,20
31/01/2016,15
01/02/2016,16
02/02/2016,23
03/02/2016,20
04/02/2016,17
05/02/2016,18
06/02/2016,27
07/02/2016,27
08/02/2016,27
09/02/2016,17
10/02/2016,18
11/02/2016,15
12/02/2016,16
13/02/2016,21
14/02/2016,17
15/02/2016,17
16/02/2016,11
17/02/2016,9
18/02/2016,12
19/02/2016,22
20/02/2016,26
21/02/2016,13
22/02/2016,9
23/02/2016,7
24/02/2016,2
25/02/2016,4
26/02/2016,2
27/02/2016,6
28/02/2016,0
29/02/2016,2
01/03/2016,2
02/03/2016,0
03/03/2016,0
04/03/2016,0
05/03/2016,0
06/03/2016,0
07/03/2016,0
08/03/2016,0
09/03/2016,0
10/03/2016,0
11/03/2016,0
12/03/2016,0
13/03/2016,0
14/03/2016,0
15/03/2016,0
16/03/2016,0
17/03/2016,0
18/03/2016,0
19/03/2016,0
20/03/2016,0
